Collegiate Years,Discus PR,Divison,Hammer PR
3,41.53,1,57.86
2,48.75,1,51.95
4,46.37,1,60.82
2,49.75,1,52.98
3,53.39,1,54.6
1,47.46,1,54.11
4,36.15,1,47.78
2,42.36,1,45.02
1,51.41,1,47.96
2,46.09,1,71.48
3,50.37,1,51.04
3,51.86,1,48.84
2,40.64,1,56.87
1,45.43,1,54.44
2,51.05,1,62.17
2,41.84,2,44.66
2,35.4,2,41.7
2,50.1,2,61.58
2,54.87,2,63.19
1,44.64,2,44.19
3,41.74,2,46.67
2,40.16,2,47.4
1,45.71,2,34.7
1,31.83,2,35.66
4,34.65,2,44.14
1,33.85,2,33.63
2,54.62,2,52.83
4,31.18,2,46.97
1,31.09,2,37.94
2,44.88,2,44.36
1,36.96,3,41.75
2,38.62,3,45.94
3,29,3,50.32
3,37.96,3,52.71
4,39.04,3,39.62
1,39.44,3,40.27
2,42.59,3,43.65
1,33.66,3,38.9
1,40.73,3,36.59
1,34.24,3,42.8
1,46.43,3,48.16
1,38.91,3,42.04
4,38.86,3,57.34
2,39.13,3,51
2,26.78,3,47.82